id,color,codigo_color,codigo_tela,descripcion_tela,ancho_tela
902,ECRU/DIJON,902,TEN0006031,LYCRA BAHIA 33474 COL 181658 ROJO CARMESI,1.56
903,DEEPTERRACOTA/BLACK,903,TEN0006821,LYCRA BAHIA 33474 COL.121209 NUDE CLARO,1.56
904,LYCHEEFIZZ/CHOCOLATE,904,TE00001856,LYCRA MALAGA 424 BABYLON/WINE,1.5
905,COSMICSAPPHIRE/BLACK,905,TE00008962,PRINTED DOUBLE GGT SI GGT 8200N JOKERS FW23 #46 SENTIMIENTO INOLVIDABLE MINI DRESS GREEN/PEACH,1.4
906,ECRU/COSMIC SAPPIRE,906,TE00008961,PRINTED DOUBLE GGT SI GGT 8200N JOKERS FW23 #52 THE OLD GARDEN MAXI DRESS BLACK/ECRU,1.4
907,LYCHEE,907,TE00004840,VOILE ART.26-35000 DIS.1002 COL.960 NAVY,1.18
908,DISCO RED,908,TEN0007288,RIB LENNON COL830011 BLACK,1.67
909,RAISIN,909,TE00007016,ACETATE JERSEY ART01711 CALANDRAGE 363 BURGUNDY,1.4
910,PINK MIST/DIJON,910,TE00008980,"NONWOVEN INTERLINING STRECH XB 6133, FREUDENBERG",1.5
911,FIRE ORANGE,911,TE00008985,"EMBROIDERY COTTON VOILE, BROCHE, RE24 RTW ELONGO SHIELDS RED/BLACK/ECRU -120cm",1.3
912,ECRU/EGGPLANT,912,"TE00008997
","EMBROIDERY COTTON VOILE, BROCHE RE´24 RTW ELONGO SHIELDS BLUE ECRU BLACK - 120cm",1.3
913,PAPROKA RED,913,TE00008986,"PRINTED DOUBLE GGT, SI GGT 8200N, JOKERS, RE24 RTW FLORAL SHADES FOREST/MINT 100cm",1.4
914,PAPRIKA RED,914,TE00008998,"PRINTED DOUBLE GGT, SI GGT 8200N, JOKERS, RE24 RTW FLORAL SHADES RED/WINE - 100cm",1.4
915,YELLOW LEMONADE,915,TE00008999,"PRINTED DOUBLE GGT, SI GGT 8200N, JOKERS, RE24 RTW FLORAL SHADES WINE/BLUE 100cm",1.4m
916,SALSA RED,916,TE00009000,"PRINTED DOUBLE GGT, SI GGT 8200N, JOKERS, RE24 RTW SHUKA DYES - COFFEE/PINK 50 CM",1.40
917,NUDE/FRAMBUESA,917,TE00009001,"PRINTED DOUBLE GGT, SI GGT 8200N, JOKERS, RE24 RTW SHUKA DYES - NAVY/RED 50CM",1.40
918,BLACK/MANGOLD,918,TE00008987,"PRINTED COTTON POPLIN MANCHESTER, LISA DIS951665-JO1 6001, RE24 RTW ELONGO SHIELDS BLACK/WHITE/ECRU",1.48
919,BLACK/AFTERSALSA RED,919,TE00009002,"PRINTED COTTON POPLIN MANCHESTER, LISA DIS951665-JO2 6002, RE24 RTW ELONGO SHIELDS GREEN/YELLOW 120c",1.48
920,BLACK/SALSA RED,920,TE00008988,"PRINTED JACQUARD RODI, LISA DIS951666-JO1 6001 RE24 RTW BIRD DYES - BLACK/BROWN/ECRU 70CM",1.44
921,NUDE WINE,921,TE00009003,"PRINTED JACQUARD RODI, LISA DIS951666-JO2 6002, RE24 RTW BIRD DYES - ECRU/ROYAL BLUE/BLACK 70CM",1.44
922,WITH BOW,922,TE00009004,"PRINTED JACQUARD RODI, LISA DIS951666-JO3 6003 RE24 RTW BIRD DYES - RED/BLACK/ECRU 70CM",1.44
923,NUDE/BLACK,923,TE00009005,"PRINTED JACQUARD RODI, LISA DIS951667-JO1 6001 RE24 RTW FLORAL SHADES WINE SALMON 100cm",1.44
924,LILA OCRE,924,TE00009006,"PRINTED JACQUARD RODI, LISA DIS951668-JO1 6001 RE24 RTW, COLOR FANCY FLORAL BLACK/ECRU/BROWN 150CM",1.44
925,IVORY/MERLOT,925,TE00009007,"PRINTED JACQUARD RODI, LISA DIS951668-JO2 6002 RE24 RTW COLOR FANCY FLORAL BLACK/RED 150CM",1.44
926,BURGUNDY/OFF WHITE,926,TE00009008,"PRINTED JACQUARD RODI, LISA DIS951668-JO3 6003 RE24 RTW, COLOR FANCY FLORAL BROWN/MAGENTA/NUDE 150CM",1.44
927,BROWN/MAGENTA,927,TE00008989,"PRINTED JERSEY SPARKLING, LISA DIS951666-JO4 6004 RE24 RTW BIRD DYES - WINE/LILAC 70CM",1.50
928,LIGTH GREEN,928,TE00009009,"PRINTED JERSEY SPARKLING, LISA DIS951665-JO3 6003 RE24 RTW ELONGO SHIELDS BLACK/BROWN - 120cm OK",1.35
929,WHITE SAGRIA,929,TE00008990,"PRINTED VISCOSE/SILK YANGON, LISA DIS951730-JO1 6001 RE'24 RTW, PAREO ELONGO FLORALS BLACK ECRU BROW",1.35
930,CHOCOLATE/GREEN,930,TE00009010,"PRINTED VISCOSE/SILK YANGON, LISA DIS951730-JO2 6002 RE'24 RTW, PAREO ELONGO FLORALS WINE RED ECRU",1.35
931,SCARF,931,TE00009011,"PRINTED VISCOSE/SILK YANGON, LISA DIS951730-JO3 6003 RE'24 RTW, PAREO ELONGO FLORALS WINE BLUE WHITE",1.35
932,ORANGE/SALMON,932,TE00009012,"PRINTED VISCOSE/SILK YANGON, LISA DIS951730-JO4 6004 RE'24 RTW, PAREO ELONGO FLORALS GREENYELLOWBLAC",1.35
933,WHITE/LILAC,933,TE00009013,"PRINTED VISCOSE/SILK YANGON, LISA DIS951730-JO5 6005 RE24 RTW PAREO ELONGO FLORALS WINE VIOLET SALMO",1.35
934,AZUCENA,934,TE00008991,"PRINTED CHIFFON GOLD LAMÉ, 120012089, OSTINELLI, RE24 RTW BIAS DYES BLACK/ECRU - 150cm",1.40
935,MEDIANOCHE NAVY OLD ROSE,935,TE00009014,"PRINTED CHIFFON GOLD LAMÉ, 120012089, OSTINELLI, RE24 RTW COLOR FANCY FLORAL BLACK/ECRU/BROWN 150CM",1.40
936,WINE,936,TE00009015,"PRINTED CHIFFON GOLD LAMÉ, 120012089, OSTINELLI, RE24 RTW COLOR FANCY FLORAL BLACK/PINK/BROWN 150CM",1.40
937,PINK/RED MANGLAR,937,TE00008992,"PRINTED HAMMERED CHARMEUSE, PREVIEW, RE24 RTW BIRD DYES - GRASS GREEN LIGHT/GREEN 70CM",1.37
938,VERDE JADE/MAGENTA FEAR,938,TE00008993,"PRINTED WASHED CDC, PREVIEW, RE24 RTW BIRD DYES - WINE/LILAC 70CM",1.37
939,BLUE/WHITE,939,TE00008994,"PRINTED CDC 16MM-CRK016, RATTI, RE24 RTW PALM FESTIVAL - BLACK/ECRU 50CM",1.35
940,LILAC/CAFÉ,940,TE00009016,"PRINTED CDC 16MM-CRK016, RATTI, RE24 RTW PALM FESTIVAL - GREEN/BLUE 50CM",1.35
941,PAPRIKA,941,TE00009017,"PRINTED CDC 16MM-CRK016, RATTI, RE24 RTW PALM FESTIVAL - RED/FUCSIA 50CM",1.35
942,RED/IVORY,942,TE00009018,"PRINTED CDC 16MM-CRK016, RATTI, RE24 RTW ELONGO SHIELDS WINE/VIOLET/SALMON- 120cm",1.35
943,NAVY/BROWN,943,TE00009019,"PRINTED CDC 16MM-CRK016, RATTI, RE24 RTW ELONGO SHIELDS BLACK/WHITE/ECRU- 120cm",1.35
944,GRIS/RUST,944,TE00009020,"PRINTED CDC 16MM-CRK016, RATTI, RE24 RTW ELONGO SHIELDS RED/BLACK/ECRU - 120cm",1.35
945,OFFWHECCRUBLACK,945,TE00008995,"PRINTED LIGHT SHINY JERSEY, VF0185J, DOUBLE INK, RATTI, RE24 RTW BIRD DYES - BLACK/BROWN/ECRU 70CM",1.40
946,MORINGA GREEN/NUD,946,TE00009021,"PRINTED LIGHT SHINY JERSEY, VF0185J DOUBLE INK, RATTI, RE24 RTW BIRD DYES - WINE ROYAL BLUE 70CM",1.40
947,POMEGRANATE/ANIS,947,TE00009022,"PRINTED LIGHT SHINY JERSEY, VF0185J DOUBLE INK, RATTI, RE24 RTW PALM FESTIVAL - BLACK/ECRU 50CM",1.40
948,SOFT PEACH/MATCHA LATTE,948,TE00009023,"PRINTED LIGHT SHINY JERSEY, VF0185J DOUBLE INK, RATTI, RE24 RTW ROTHKO DYES - GREEN 90CM",1.40
949,SUNLIGHT,949,TE00009024,"PRINTED LIGHT SHINY JERSEY, VF0185J DOUBLE INK, RATTI,RE24 RTW ROTHKO DYES - RED 90CM",1.40
950,TURMERIC/SALMON,950,TE00009025,"PRINTED LIGHT SHINY JERSEY, VF0185J DOUBLE INK, RATTI, RE24 RTW COLOR FANCY FLORAL BLACK/ECRU/BROWN",1.40
951,SOFT PEACH/BLACK,951,TE00009026,"PRINTED LIGHT SHINY JERSEY, VF0185J DOUBLE INK, RATTI, RE24 RTW COLOR FANCY FLORAL BLACK/RED 150CM",1.40
952,SOFT PEACH/FUCSIA,952,TE00008996,"PRINTED LINEN LIK006N, RATTI, RE24 RTW ELONGO SHIELDS ECRU BLUE/BLACK - 120cm",1.47
953,MORINGA GREEN/ECRU,953,TE00009027,"PRINTED LINEN LIK006N, RATTI, RE24 RTW ELONGO SHIELDS ECRU TEAL GREEN - 120cm",1.47
954,DESERT TAUPE,954,TE00009028,"PRINTED JERSEY INKE022, ARGENTI, RE24 RTW BIAS DYES BLACK/ECRU - 150cm",1.47
955,SOFT TAUPE,955,TE00009029,"PRINTED JERSEY INKE022, ARGENTI, RE24 RTW BIAS DVES - SAND/GREEN 150CM",1.47
956,JUNGLE ECRU,956,TE00007037,GRPO GOTSMANCHESTER CAMOUFLAGEANTIQUEYELLOW 100CM,1.48
957,RED/OFF WHITE,957,TE00008845,PRINTED CORDUROY -ADALBERTO A23W173FW'23 THE BOHEMIAN LEOPARD - TRADITIONAL 60CM DYE BACK,1.44
958,MORINGA GREEN,958,TE00002898,LYCRA BAHIA 33474 COL191325 CAFÉ,1.56
959,SOFT PEACH/MORINGA GREEN,959,TE00004289,CDC16MM FLORALSTAMP RED BLUSH 60CM PR33032 1,1.37
960,MORINGA GREEN/CAMEL,960,TE00008585,SPECIAL WEAVE WITH FRINGES UNCUT HORIZONTAL STRIPES T139524,1.25
961,MIDNIGHT BLUE/BLACK,961,TEN0006785,LYCRA RIB BRISTOL 3NAP GREEN HOUSE,1.4
962,CINNAMON/BLACK,962,TEN0003651,LYCRA BAHIA 33474 COL190419 VERDE MILITAR,1.5
963,TOBACCO/BLACK,963,TEN0003636,LYCRA RIB BRIISTOL 5DTT NERO BLACK,1.4
964,ECRU/MENS BLUE,964,TEN0006313,ALGODON POPELINA ACTION COL 16243 BEIGE,1.35
965,BROWN/GOLD,965,TEN0006771,JERSEY QUARZO LYCR ECRU COL 1090,1.6
966,CHILLI PEPPER/TRUFFLE,966,TEL0005721,VOILE ART.26 35000 COL 355 YELLOW,1.18
967,NIGTH BLUE,967,TEN0004707,LYCRA BAHIA 33474 COL.121209 NUDE CLARO,1.56
968,PALE SALMON,968,TEN0004679,LYCRA BAHIA 33474 COL193921 NAVY,1.56
969,MARINE NIGHTS,969,TE00007489,ALGODON POPLIN POLY 08500060008 STYLEM 012 BROWN,1.4
970,GOLDEN SCALES,970,TEN0007060,LYCRA NEGRA TABITA U985001,1.49
971,JUNGLE PINK,971,TE00009066,"COTTON VOILE ORO SEI, LISA RE24 SWIM, #106 BROWN PAISLEY SITUATION SHIRT, ECRU/COFFEE",1.45
972,JUNGLE TANGARINE,972,TE00009067,"COTTON VOILE ORO SEI, LISA RE24 SWIM, #103 BE IN PEACE PANT ECRU/COFFEE",1.45
973,LINES CHOCOLATES,973,TE00009068,"PRINTED LINEN LIK006 RATTI RE24 SWIM, #32 KARIBU KIMONO BROWN/YELLOW/ORANGE 50 CMS",1.47
974,PEACH TERRACOTA,974,TE00009069,"LIGHT POPLIN CAMBRIDGE, LISA RE24 SWIM, TROPICAL PALM TUNIC DRESS BLUE/ECRU/VIOLET 50 CMS",1.42
975,ORANGE TAUPE,975,TE00009070,"ECO GEORGETTE GREEN PARAGUAY LISA, RE24 SWIM, TWENDE KIMONO ECRU/BLACK/BLUE 80CMS",1.51
976,ECRU/CARIBBEAN AQUA,976,TE00009071,"LIGHT POPLIN CAMBRIDGE, LISA RE24 SWIM, AWASH MYSTERY DRESS BLUE/RED MULTI",1.42
977,ASH GREY,977,TE00009072,"COTTON VOILE ORO SEI, LISA RE24 SWIM, TANGA COAST ANKLE DRESS ECRU/BLUE",1.45
978,NATURAL/ASH GREY,978,TE00009073,"PRINTED LINEN LIK006, RATTI RE24 SWIM, GRATEFULL WARRIOR CROP TOP BLACK/INTENSE LAPIS LAZULI 50CM",1.47
979,MATCHA AQUA,979,TE00009074,"PRINTED LINEN LIK006, RATTI RE24 SWIM, MASAAÍ MYTHOLOGY MIDI SKIRT, BLACK/INTENSE LAPIS LAZULI 50CMS",1.47
980,TUMERIC ECRU,980,TE00009075,"COTTON VOILE ORO SEI, RE24 SWIM, EAST AFRICA HEART ANKLE DRESS VIOLET/COFFEE",1.45
981,CAMEL ANIS,981,TE00009076,"PRINTED LINEN LIK006, RATTI RE24 SWIM, WILD SAVANNAH TUNIC DRESS ECRU/RED, 30 CMS",1.47
982,SOLID KHAKI,982,TE00009077,"COTTON VOILE ORO SEI, LISA RE24 SWIM, RED PAISLEY SITUATION SHIRT ECRU/CHOCOLATE/RED",1.45
983,CHOCOLATE/SALSA DISCO RED,983,TE00009078,"COTTON VOILE ORO SEI, LISA RE24 SWIM, HUNTING ROOTS WRAP SKIRT ECRU/CHOCOLATE/RED",1.45
984,DARK CARAMEL,984,TE00009079,"PRINTED LYCRA VITTA FY0427J, RATTI RE24 SWIM, SERENGETI PINK MAHABA BIKINI BOTTOM BLACK/PINK 30 CMS",1.46
985,IMPERIAL RED,985,TE00009080,"PRINTED LINEN LIK006, RATTI RE24 SWIM, UNEXPECTED SYMBOLISM ANKLE DRESS BLACK/PINK 80CMS",1.47
986,ESMERALDA SEA,986,TE00009081,"PRINTED LINEN LIK006, RATTI RE24 SWIM, SPECIAL WILDNESS MAXI DRESS RED/FIERCE/VIOLET 50CMS",1.47
987,ASH BLUE,987,TE00009082,"PRINTED LYCRA VITTA FY0427J, RATTI RE24 SWIM, WAIRUA BIKINI TOP ECRU/BLACK/BLUE 30CMS",1.46
988,COBALT BLUE,988,TE00009083,"PRINTED LYCRA VITTA FY0427J, RATTI RE24 SWIM, SERENGETI NAVY MAHABA BIKINI BOTTOM ECRU/BLACK/BLUE",1.46
989,ECRU/IMPERIAL RED,989,TE00009084,"PRINTED LYCRA VITTA FY0427J, RATTI RE24 SWIM, TURKANA BIKINI TOP ECRU/BLACK 150CMS/30CMS",1.46
990,SILVER/ECRU,990,TE00009085,"PRINTED LYCRA VITTA FY0427J, RATTI RE24 SWIM, TAKWENYA BIKINI BOTTOM ECRU/BLACK 150/30CMS",1.46
991,OLIVE,991,TE00009086,"COTTON VOILE ORO SEI, LISA RE24 SWIM, BLACK PAISLEY SITUATION SHIRT ECRU/BLACK",1.45
992,MANGO,992,TE00009087,"COTTO VOILE ORO SEI, LISA RE24 SWIM, LINKA SHORT ECRU/BLACK",1.45
993,CAMELIA,993,TE00009088,"SHIMMERING LYCRA W0693ERO, CLERICI RE24 SWIM, VIENTO SABANERO MIDI SKIRT 150/30 CMS",1.56
994,IMPERIAL REAL/NATURAL,994,TE00009089,"SHIMMERING LYCRA W0693ERO, CLERICI RE24 SWIM, VIENTO SABANERO MIDI SKIRT 150/30 CMS",1.56
995,VINTAGE ROSE,995,TE00009090,"COTTON JACQUARD ROMBHUS, ART.J30 0152, MONARCH RE24 SWIM, INHERITED WISDOM RED/PINK/DARK BROWN",1.53
996,MANGO ORANGE,996,TE00009091,"COTTON JACQUARD ROMBHUS, ART.J30 0152, MONARCH RE24 SWIM, INHERITED WISDOM DARK BROWN/PURPLE/RED",1.53
997,BURNT ORANGE,997,TE00009092,"COTTON JACQUARD ROMBHUS, ART.J30 0152, MONARCH RE24 SWIM, INHERITED WISDOM DARK BROWN/PURPLE/RED",1.53
998,SEA MIST,998,TE00009093,"COTTON JACQUARD ROMBHUS, ART.J30 0152, MONARCH RE24 SWIM, INHERITED WISDOM ORANGE/LIGHT BLUE/COBAL",1.53
999,ORCHID,999,TE00009099,"SOLID COTTON, MONARCH RE'24 SWIM, SOLID ECRU",1.53
1000,LEOPARD CHOCOLATE,1000,TE00009100,"SOLID COTTON VOILE, EMBSENSE RE'24 SWIM, SOLID ECRU",1.4
1001,HUSBAND/BLUE ECRU,1001,TE00009094,COTTON JACQUARD ROMBHUS ART.J30 0152 MONARCH RE24SWIM INHERITED WISDOM RED/PINK/DARK BROWN -CENEFA,1.53
1002,BLACK/NUDE,1002,TE00009095,COTTON JACQUARD ROMBHUS ART.J30 0152 MONARCH RE24SWIM INHERITED WISDOM DARK BROWN/PURPLE/RED -CENEFA,1.53
1003,BLACKBERRY TANGARINE,1003,TE00009096,COTTON JACQUARD ROMBHUS ART.J30 0152 MONARCH RE24SWIM INHERITED WISDOM ORANGE/LIGHTBLUE/COBAL-CENEFA,1.53
1004,CRUDO,1004,TE00009101,"COTTON JACQUARD ROMBHUS ART.J30 0152 MONARCH RE24SWIM, INHERITED WISDOM DARK BROWN/PURPLE/RED CENEFA",1.53
1005,OLIVE/OFF WHITE,1005,TE00009111,"COTTON VOILE ORO SEI LISA RE24/SWIM, #140 BLACK BE IN PEACE PANT ECRU/BLACK",1.45
1006,SQUARES BLUE,1006,TE00009112,"EMBROIDERY COTTON VOILE, ES-222895, EMBSENSE, RE24/SWIM, #42 NATURE WALK MIDI SKIRT ECRU/BLUE/ORANGE",1.4
1007,DARK CARAMEL/CARIBBEAN AQUA,1007,TE00009113,"EMBROIDERY COTTON VOILE, ES-222895, EMBSENSE RE24/SWIM, #43 MANYATTAS SHIRT /POSTERIOR- PUÑO- CUELLO",1.4
1008,CAMELIA/CARIBBEAN AQUA,1008,TE00009114,"EMBROIDERY COTTON VOILE, ES-222895, EMBSENSE, RE24/SWIM, #43 MANYATTAS SHIRT/ DELANTERO-MANGAS-CARTERA",1.4
1009,TAN,1009,TEN0006772,JESEY QUARZO LYCR NEGRO COL 9996,
1010,ORCHID PINK,1010,TEN0007348,LYCRA NAIR 49QF MARE BLU,
1011,ECRU/PEACH,1011,TE00009050,"BEADED CDC PALM SEQUIN, APT, RE24 RTW PALM FESTIVAL - RED/FUCSIA",1.10
1012,IMPERIAL RED/CAMEL,1012,TE00008826,SATIN DEVORÉ ART.4847 OSTINELLI FW23 CUBA NATIVA BLACK/BLACK,1.40
1013,WINE/MANGO ORANGE,1013,TE00009042,"SOLID SILK STRIPES, PREVIEW, ECRU",1.37
1014,PAPRIKA/CARIBEAN AQUA,1014,TE00009043,"SOLID SILK STRIPES, PREVIEW, VIOLET",1.37
1015,ECRU/OLIVE,1015,TEN0007349,LYCRA BAHIA 33474 COL 502 ECRU JO,1.56
1016,PAPRIKA/STRAWBERRY ICE,1016,TEN0007310,CUERO CONFECCIÓN ATENAS FOLIA PLATA,
1017,NATURAL/OLIVE,1017,TE00008842,COTTON STRIPES ROME BLUE/WHITE CM0049LBU - JAMES FABRIC,1.35
1018,ECRU/GRAPE FIZ,1018,TE00009107,TAFETA DE SEDA BROWN TF/273,1.39
1019,CAMEL/TERRACOTA,1019,TE00009053,TAFETA DE SEDA BURGUNDY COLOR TF/342,1.39
1020,NAVY/MANGO ORANGE,1020,TE00009054,"EMBROIDERY CDC, APT, RE24 RTW CARNIVAL PALM FESTIVAL STITCHES BLACK/RED",1.10
1021,CARIBBEAN AQUA/MANGO ORANGE,1021,TE00009030,"PRINTED HAMMERED CHARMEUSE, PREVIEW, RE24 RTW BIRD DYES - WINE ROYAL BLUE 70CM",1.37
1022,PAPRIKA RED/ECRU,1022,TEN0007350,PAÑO AZUL NAVY,
1023,PAPRIKA/CAMEL,1023,TE00009064,SILK EMBROIDERED EMB-A-08885 VENTURES PURPLE,1.30
1024,IMPERIAL REAL,1024,TE00009040,"SOLID SILK METALLIC STRIPES, PREVIEW, BLACK",1.37
1025,PAPRIKA RED/CAMEL,1025,TEN0007309,CUERO CONFECCIÓN ATENAS FOLIA ORO,
1026,DARK CARAMEL/AQUA,1026,TEN0007351,FRANELA PONTY ROMA 3574-09 NEGRA,1.61
1027,ROSE/CINNAMON,1027,TE00009033,"PRINTED SHINY JERSEY DOUBLE INK, VF0185J, RATTI, RE24 RTW OMBRÉ ECRU/BLACK 150X150",1.40
1028,LILA PRINT,1028,TE00009047,"EMBROIDERY CDC, APT, RE24 RTW CHAIN STITCHES STRIPES BLACK/ECRU",1.10
1029,DARK GREY FLOWER,1029,TE00009048,"EMBROIDERY CDC, APT, RE24 RTW CHAIN STITCHES STRIPES MILITARY GREEN/JADE",
1030,MIDNIGHT BLUE/ECRU,1030,TE00009105,TAFETA DE SEDA PINK COLOR TF/341,1.39
1031,MENS BLUE/ROSE,1031,TE00009035,"PRINTED SHINY JERSEY DOUBLE INK, VF0185J, RATTI, RE24 RTW OMBRÉ RED/WINE 150X150",1.40
1032,DANDELION/ECRU,1032,TE00009041,"SOLID SILK METALLIC STRIPES, PREVIEW, FOREST GREEN",1.37
1033,ECRU/LIME,1033,TEN0006801,CUERO CONFECCION CAFE OSCURO,
1034,ECRU/LAVA RED,1034,TE00009044,"LEAVES GUIPURE, PREVIEW, BLACK METALLIC SEQUINS",1.30
1035,LAVA,1035,TE00007693,ACETATE MATT JERSEY ART J01625 - BIEN ETRE BLACK 0F78,1.35
1036,CAOBA RED/MILITARY GREEN,1036,TE00009038,"PRINTED CDC CRK016, RATTI, RE'24 RTW OMBRÉ GREEN/DARK GREEN 150X150",1.40
1037,CAOBA RED,1037,TEN0007159,CUERO ATENAS 14185 CHOCOLATE GILB,
1038,ECRU/CABBA RED,1038,TE00009049,"EMBROIDERY CDC, APT, RE24 RTW CHAIN STITCHES STRIPES WINE/RED",
1039,INDIAN MADDER,1039,PC00603,MAGIA TEXTIL ANKLE DRESS,
1040,BUBBLE GUM/BLACK,1040,PC00595,CANVAS INSPIRATION DRESS,
1041,FOPPER POT,1041,PC00604,HERENCIA VINTAGE TOP,
1042,YELLOW ORCHE,1042,PC00597,TIYARIK COLOR SCAPES MIDI SKIRT,
1043,SOFT PINK/BLACK,1043,PC00598,TIYARIK DEGRADE STITCHING TOP,
1044,TOBACCO/CAOBA RED,1044,PC00599,PEPPERMINT COLOR SCAPES MIDI SKIRT,
1045,BLACK/MILITARY GREEN/ECRU,1045,PC00600,BLACK DEGRADE STITCHING TOP,
1046,MANDARINE FIZZ,1046,PC00601,LILAC COLOR SCAPES MIDI SKIRT,
1047,WILDFIRE/WOOD,1047,TE00005878,DOUBLE GEORGETTE NEGRO PV6000 196 / 44 45,1.1
1048,ORANGEADE/WOOD/BLACK,1048,TE00000193,DOUBLE GEORGETTE ICE PV6000 125 / 44 45,1.11
1049,CAOBA RED/AFTER DRK BROWN,1049,TEL0005835,CREPE DE CHINE OLD MINT PV1200 143 CDC16MM 44 45,1.1
1050,ORANGEADE,1050,TE00009061,SOLID CDC APT RE24' RTW MILITARY GREEN,1.1
1051,ECRU/WASHED WOOD,1051,TE00008315,CDC 16MM PV1200 - PR35327 PURPLE,1.10
1052,WOOD,1052,TE00009062,SOLID CDC APT RE24' RTW RED,1.10
1053,WOOD/ECRU,1053,TE00009059,SOLID CDC APT RE24' RTW ELONGO SHIELDS WINE,1.10
1054,AMABER TOAST,1054,TE00009103,SOLID CDC CARNIVAL PALM FESTIVAL STITCHES BLACK,1.1
1055,PINK OPAL/WOOD,1055,TE00009206,"PRINTED JACQUARD, RODI LISA, DIS951996-JO6 6006, SS’24 TROPICANA IKAT ECRU/BLACK 150CM",1.44
1056,ECRU/HUNTER GREEN,1056,TE00005120,ECO POPLIN GREEN MANCHESTER BCI GOLDEN TEMPLETE138,1.48
1057,ANCIENT SUN,1057,TE00000031,ALGODON BORDADO PALMAS ECCRU,1.37
1058,COPPER POT,1058,TE00008808,VEGAN LEATHER MELZO.28 COL.563 ECRU,
1059,CHARISMA RED,1059,TE00009065,SOLID CDC APT RE24' RTW STRIPES CDC BLACK,1.10
1060,YELLOW OCHRE,1060,TEL0005878,DOUBLE GEORGETTE NEGRO PV6000 196 / 44 45,1.10
1061,SUMMER PUNCH,1061,TE00006238,ALGODON RAYAS ART148145 MAIORCA COL000 ECRU,1.45
1062,ECRU/COSMIC BLUE,1062,TE00009196,"PRINTED ECO POPLING, MANCHESTER LISA, DIS951995-JO1 6001, SS’24 PALMNIMAL PRINT 120cm GREEN/ECRU",1.48
1063,AMBER TOAST,1063,TE00009190,"PRINTED DOUBLE GGT, SI GGT 8200N JOKERS, SS´24 WESTERN ROMANCE BLACK/RED/NUDE 140 CM",1.40
1064,DANCING YELLOW,1064,TE00009197,"PRINTED ECO POPLING, MANCHESTER LISA, DIS951995-JO2 6002, SS’24 PALMNIMAL PRINT 120cm RED/ECRU",1.48
1065,ANCIENT RED,1065,TE00009209,"PRINTED JACQUARD, RODI LISA, DIS952000-JO1 6001, SS´24 WESTERN ROMANCE ECRU/WINE/BROWN 140 CM",1.44
1066,GREEN GODDESS,1066,TE00009286,UTOPIA ECOFABRIC NAT CLASSIC,1.76
1067,ANCIENT PEARL,1067,TE00009189,"PRINTED DOUBLE GGT, SI GGT 8200N JOKERS, SS'24 FLORAL INK ECRU/RED 130CM",1.30
1068,DARK CAMEL,1068,TE00009193,"PRINTED DOUBLE GGT, SI GGT 8200N JOKERS, SS´24 WESTERN ROMANCE YELLOW/ECRU/BLACK 140 CM",1.40
1069,WILDFIRE,1069,TE00009192,"PRINTED DOUBLE GGT, SI GGT 8200N JOKERS, SS´24 WESTERN ROMANCE ROSE/BROWN/ECRU 140 CM",1.40
1070,COSMIC NAVY,1070,TE00009230,"PRINTED HAMMERED CHARMEUSE, PREVIEW SS'24, STUDIO DUCHARNE ECRU/BLACK 40CM",1.32
1071,ECRU/VINTAGE ROSE,1071,TE00009239,"PRINTED CDC, CRK016 RATTI, SS'24 SIXTIES BIANCHINI SCARVE BEIGE/BROWN/BLACK 30CM",1.35
1072,AFTER DARK BROWN,1072,TE00009265,"PRINTED LINEN, LIK006 RATTI, SS´24 STUDIO DUCHARNE GREEN/ECRU 40CM",1.47
1073,CHILI PEPPER/SANGRIA,1073,TEN0005553,LYCRA 96% ALGODON 4% SPADEX DIAMANTE CRUDO,1.60
1074,SALMON/COCO DE MER,1074,TEN0007369,"EYELET GUIPURE, WORKING MEN BLUES, RE24 RTW BLACK/ECRU",1.20
1075,MILITARY GREEN/NUDE,1075,TE00009245,"PRINTED CDC, CRK016 RATTI, SS'24 SIXTIES BIANCHINI SCARVE ALLOVER ECRU/GREY/BLACK 40 CM",1.35
1076,VERDE OSCURO,1076,TE00009183,"RAFIA JACQUARD, ART.037896 CLERICI, SS'24 PANN. GEOMETRIC BLACK""",1.50
1077,ACQUA,1077,TE00009187,"RAFFIA LUREX, 18756 LU HUREL SS'24 COL.01/91 - GOLD/NATURAL",1.38
1078,NICKEL,1078,TE00009236,"PRINTED JACQUARD, SL104N MATELASSE RATTI, SS24 PALMNIMAL PRINT 120CM BLACK/ECRU",1.32
1079,BLUEBERRY,1079,TE00009241,"PRINTED CDC, CRK016 RATTI, SS'24 SIXTIES BIANCHINI SCARVE ECRU/ROSE/BLACK 30CM",1.35
1080,MORADO/ECRU,1080,TE00009215,"PRINTED VISCOSE, YANGON LISA, DIS951996-JO4 6004, SS’24 TROPICANA IKAT ECRU/VIOLET 150CM",1.35
1081,MORADO/CORAL,1081,TE00009219,"PRINTED VISCOSE, YANGON LISA, DIS951997-JO4 6004, SS’24 TROPICANA IKAT CENEFA ECRU/VIOLET 150CM",1.35
1082,MORADO/UVA,1082,TE00009223,"PRINTED VISCOSE, YANGON LISA, DIS951999-JO2 6002, SS’24 TROPICANA IKAT PAREO VIOLET/ECRU",1.35
